Date,Open,High,Low,Close,Adj Close,Volume
2/1/2012,1687.5,1687.5,1500,1612.5,1068.43,5360720000
3/1/2012,1587.5,1737.5,1587.5,1712.5,1134.69,2932678008
4/1/2012,1737.5,1850,1700,1850,1225.79,1953678000
5/1/2012,1850,1862.5,1662.5,1725,1142.97,1902750000
6/1/2012,1725,1837.5,1637.5,1800,1210.43,1369730000
7/1/2012,1812.5,2075,1712.5,2075,1395.36,2167044000
8/1/2012,2075,2150,1837.5,1950,1311.3,1351862000
9/1/2012,1975,2075,1900,2050,1378.55,1680830000
10/1/2012,2012.5,2100,1975,2062.5,1386.96,1624008000
11/1/2012,2075,2225,2037.5,2062.5,1386.96,1254008000
12/1/2012,2112.5,2112.5,1925,1950,1311.3,2055508012
1/1/2013,1950,2262.5,1950,2262.5,1521.45,1725268000
2/1/2013,2250,2537.5,2175,2512.5,1689.57,1701754000
3/1/2013,2475,2512.5,2362.5,2500,1681.16,1749754000
4/1/2013,2512.5,2687.5,2450,2625,1765.22,1585938012
5/1/2013,2600,2637.5,2425,2425,1661.83,2498734000
6/1/2013,2425,2475,2062.5,2250,1541.9,2922794012
7/1/2013,2262.5,2262.5,1862.5,2225,1524.77,2805734000
8/1/2013,2225,2225,1562.5,1775,1216.39,3735436000
9/1/2013,1800,2575,1637.5,1987.5,1362.01,3808434000
10/1/2013,2012.5,2237.5,2012.5,2150,1473.37,2701268000
11/1/2013,2100,2150,1837.5,1912.5,1310.62,2671856000
12/1/2013,1925,2000,1825,1962.5,1344.88,1290742000
1/1/2014,1962.5,2381.25,1900,2175,1490.51,2287163600
2/1/2014,2206.25,2412.5,2100,2275,1559.04,2539901600
3/1/2014,2250,2562.5,2250,2362.5,1619,3031414000
4/1/2014,2393.75,2587.5,2381.25,2456.25,1725.42,2670719200
5/1/2014,2456.25,2706.25,2443.75,2543.75,1786.89,1918157200
6/1/2014,2550,2562.5,2406.25,2431.25,1707.86,2055482400
7/1/2014,2456.25,2750,2406.25,2562.5,1800.06,3327483200
8/1/2014,2562.5,2662.5,2506.25,2593.75,1822.01,1563503600
9/1/2014,2625,2675,2456.25,2518.75,1769.32,1965186000
10/1/2014,2525,2593.75,2325,2587.5,1817.62,2384827200
11/1/2014,2593.75,2681.25,2525,2631.25,1848.35,1308342800
12/1/2014,2637.5,2718.75,2531.25,2693.75,1892.26,1425168800
1/1/2015,2693.75,2843.75,2650,2750,1931.77,1812009600
2/1/2015,2750,3075,2737.5,3000,2107.38,1838508400
3/1/2015,2975,3118.75,2937.5,3118.75,2190.8,1476066000
4/1/2015,3118.75,3137.5,2587.5,2687.5,1921.47,2262019200
5/1/2015,2687.5,2931.25,2675,2693.75,1925.94,2062749600
6/1/2015,2700,2706.25,2337.5,2512.5,1796.35,2253151600
7/1/2015,2531.25,2600,2318.75,2381.25,1702.51,1849068000
8/1/2015,2350,2518.75,2031.25,2275,1626.54,2974338800
9/1/2015,2250,2250,1787.5,1981.25,1416.52,1516085200
10/1/2015,2000,2412.5,1918.75,2175,1555.05,2119430000
11/1/2015,2168.75,2318.75,2037.5,2125,1519.3,1828682400
12/1/2015,2187.5,2312.5,2112.5,2312.5,1653.36,1237126400
1/1/2016,2312.5,2400,2250,2400,1715.91,1741306800
2/1/2016,2400,2600,2293.75,2387.5,1706.98,2397251200
3/1/2016,2368.75,2593.75,2343.75,2575,1841.03,1975695200
4/1/2016,2556.25,2612.5,2318.75,2412.5,1770.23,1323716800
5/1/2016,2406.25,2468.75,2162.5,2256.25,1655.57,1914989200
6/1/2016,2250,2425,2212.5,2381.25,1747.3,1485284400
7/1/2016,2375,2618.75,2331.25,2525,1852.78,2337342800
8/1/2016,2556.25,2987.5,2550,2806.25,2059.15,2754841600
9/1/2016,2775,2937.5,2625,2800,2054.56,1773045600
10/1/2016,2831.25,2912.5,2687.5,2868.75,2105.01,1641578800
11/1/2016,2868.75,2975,2506.25,2625,1926.15,2163828800
12/1/2016,2625,2931.25,2625,2893.75,2123.35,1268608000
1/1/2017,2893.75,2900,2725,2725,1999.53,1098405200
2/1/2017,2743.75,2900,2725,2825,2072.91,1805377200
3/1/2017,2850,3006.25,2800,2925,2146.28,1517241200
4/1/2017,2950,3106.25,2850,2925,2195.83,1359647600
5/1/2017,2925,3325,2875,3150,2364.74,1662761600
6/1/2017,3150,3212.5,3037.5,3187.5,2392.9,1012243200
7/1/2017,3193.75,3412.5,3168.75,3412.5,2561.81,1430117200
8/1/2017,3418.75,3418.75,3262.5,3275,2458.58,1360008000
9/1/2017,3275,3387.5,3200,3362.5,2524.27,1481339200
10/1/2017,3362.5,3575,3287.5,3525,2646.26,1898497000
11/1/2017,3550,3800,3462.5,3700,2777.64,1900178000
12/1/2017,3700,4050,3650,4000,3002.85,1423478400
1/1/2018,4000,4150,3825,4075,3059.15,1643769600
2/1/2018,4100,4525,3962.5,4150,3115.46,1432868800
3/1/2018,4200,4237.5,3762.5,3837.5,2880.86,1707350200
4/1/2018,3787.5,4050,3437.5,3562.5,2744.44,721998800
5/1/2018,3562.5,3812.5,3262.5,3525,2715.55,2136398600
6/1/2018,3525,3725,3212.5,3425,2638.52,1139700000
7/1/2018,3487.5,3487.5,3125,3325,2561.48,1454409800
8/1/2018,3350,3712.5,3262.5,3450,2657.77,1586252800
9/1/2018,3450,3475,3100,3362.5,2590.37,1322205800
10/1/2018,3300,3425,3087.5,3425,2638.52,1295304200
11/1/2018,3450,3825,3400,3700,2850.37,2131135200
12/1/2018,3775,3862.5,3550,3687.5,2840.74,1349235400
1/1/2019,3687.5,4025,3525,3725,2869.63,2531064800
2/1/2019,3750,3837.5,3475,3562.5,2744.44,1724258600
3/1/2019,3575,3762.5,3325,3737.5,2879.26,1361431000
4/1/2019,3750,4062.5,3650,3862.5,2975.55,1619330000
5/1/2019,3862.5,3887.5,3487.5,3837.5,2956.29,2144913200
6/1/2019,3837.5,4025,3837.5,4012.5,3191.07,1383878400
7/1/2019,4025,4087.5,3812.5,3987.5,3171.19,2053738800
8/1/2019,3937.5,3950,3475,3625,2882.9,1850197400
9/1/2019,3612.5,3662.5,3412.5,3487.5,2773.55,1297082400
10/1/2019,3450,3637.5,3137.5,3512.5,2793.43,2083158400
11/1/2019,3512.5,3600,3350,3487.5,2773.55,1410547600
12/1/2019,3487.5,3912.5,3462.5,3837.5,3051.9,1819190600
1/1/2020,3837.5,4000,3687.5,3775,3002.19,1974173600
2/1/2020,3700,4025,3275,3637.5,2892.84,2232867200
3/1/2020,3575,3825,1890,2340,1954.94,3498227800
4/1/2020,2325,2800,2000,2230,1863.04,3137682800
5/1/2020,2230,2245,1830,2235,1867.22,2824536600
6/1/2020,2235,2725,2215,2475,2067.73,3937606200
7/1/2020,2500,3000,2450,2900,2422.79,1802590000
8/1/2020,2925,3175,2725,2975,2485.45,1960545400
9/1/2020,2987.5,3100,2430,2480,2071.91,2492304200
10/1/2020,2500,2925,2490,2887.5,2412.35,1767891000
11/1/2020,2837.5,3400,2800,3162.5,2642.1,3153225200
